GCInfo{gcName='PS Scavenge', gcStartTime=435, gcEndTime=442, gcDuration=7}
GCInfo{gcName='PS Scavenge', gcStartTime=448, gcEndTime=459, gcDuration=11}
GCInfo{gcName='PS Scavenge', gcStartTime=473, gcEndTime=495, gcDuration=22}
GCInfo{gcName='PS MarkSweep', gcStartTime=495, gcEndTime=738, gcDuration=243}
GCInfo{gcName='PS Scavenge', gcStartTime=750, gcEndTime=775, gcDuration=25}
GCInfo{gcName='PS MarkSweep', gcStartTime=775, gcEndTime=1189, gcDuration=414}
GCInfo{gcName='PS Scavenge', gcStartTime=1227, gcEndTime=1294, gcDuration=67}
GCInfo{gcName='PS MarkSweep', gcStartTime=1294, gcEndTime=1793, gcDuration=499}
GCInfo{gcName='PS Scavenge', gcStartTime=1835, gcEndTime=1931, gcDuration=96}
GCInfo{gcName='PS MarkSweep', gcStartTime=1931, gcEndTime=2770, gcDuration=839}
GCInfo{gcName='PS Scavenge', gcStartTime=2811, gcEndTime=2924, gcDuration=113}
GCInfo{gcName='PS Scavenge', gcStartTime=2943, gcEndTime=3149, gcDuration=206}
GCInfo{gcName='PS MarkSweep', gcStartTime=3149, gcEndTime=4432, gcDuration=1283}
GCInfo{gcName='PS Scavenge', gcStartTime=4479, gcEndTime=4569, gcDuration=90}
GCInfo{gcName='PS Scavenge', gcStartTime=4583, gcEndTime=4713, gcDuration=130}
GCInfo{gcName='PS Scavenge', gcStartTime=4728, gcEndTime=4942, gcDuration=214}
GCInfo{gcName='PS Scavenge', gcStartTime=5001, gcEndTime=5325, gcDuration=324}
GCInfo{gcName='PS MarkSweep', gcStartTime=5325, gcEndTime=7277, gcDuration=1952}
GCInfo{gcName='PS Scavenge', gcStartTime=7297, gcEndTime=7418, gcDuration=121}
GCInfo{gcName='PS Scavenge', gcStartTime=7438, gcEndTime=7651, gcDuration=213}
GCInfo{gcName='PS Scavenge', gcStartTime=7676, gcEndTime=8060, gcDuration=384}
GCInfo{gcName='PS Scavenge', gcStartTime=8060, gcEndTime=8296, gcDuration=236}
GCInfo{gcName='PS MarkSweep', gcStartTime=8296, gcEndTime=15178, gcDuration=6882}
GCInfo{gcName='PS MarkSweep', gcStartTime=15178, gcEndTime=21439, gcDuration=6261}
Major total cleanUp 8 Major total duration 18373
Minor total cleanUp 16 Minor total duration 2259
GCInfo{gcName='PS Scavenge', gcStartTime=435, gcEndTime=442, gcDuration=7}
GCInfo{gcName='PS Scavenge', gcStartTime=448, gcEndTime=459, gcDuration=11}
GCInfo{gcName='PS Scavenge', gcStartTime=473, gcEndTime=495, gcDuration=22}
GCInfo{gcName='PS MarkSweep', gcStartTime=495, gcEndTime=738, gcDuration=243}
GCInfo{gcName='PS Scavenge', gcStartTime=750, gcEndTime=775, gcDuration=25}
GCInfo{gcName='PS MarkSweep', gcStartTime=775, gcEndTime=1189, gcDuration=414}
GCInfo{gcName='PS Scavenge', gcStartTime=1227, gcEndTime=1294, gcDuration=67}
GCInfo{gcName='PS MarkSweep', gcStartTime=1294, gcEndTime=1793, gcDuration=499}
GCInfo{gcName='PS Scavenge', gcStartTime=1835, gcEndTime=1931, gcDuration=96}
